type,description,title,img,score,review_n
appliances,a good machine that makes great coffee however the downside is it gets too complicated to clean it. This applies to all Breville Coffee Machines. They make a great hiding home for cockroaches,Breville Duo-Temp Pro BES810BSS,https://cdn.productreview.com.au/resize/listing-picture/f7d5296d-ecf6-42cd-8d52-294b151ac3ab?width=96&height=96&v=2,4.0,102
appliances,"With its one-touch dial allowing you to scroll through a digital database of recipes, the $349 Tefal Cook4Me+ provides step-by-step instructions to let you easily make meals at home.",Tefal Cook4Me+,https://cdn.productreview.com.au/resize/listing-picture/e50b395a-28f1-4b2e-886e-ef4f5010f923?width=96&height=96&v=2,4.1,98
appliances,"The Ausclimate NWT Compact 12L is the brand’s smallest offering of compressor dehumidifier. It’s suitable for rooms sized 20m², including boats, caravans and laundries.",Ausclimate NWT Compact 12L ,https://cdn.productreview.com.au/resize/listing-picture/f85e3cb2-c64d-42a0-bea4-88fb1928cb0a?width=96&height=96&v=2,4.9,28
appliances,"This freestanding dishwasher series by Westinghouse has up to 15 place settings, 6 wash programmes and offers a silent and quick washing experience",Westinghouse WSF6606 Series,https://cdn.productreview.com.au/resize/listing-picture/97cfb78c-03c5-44bb-a700-c67d15c98695?width=96&height=96&v=2,3.8,298
appliances,"The InovaAir AirClean E20 is one of the most powerful air purifiers on ProductReview. Pricey but effective, this air purifier can be relied on for longevity and providing clean air.",InovaAir AirClean E20 Plus,https://cdn.productreview.com.au/resize/listing-picture/519a0692-6e35-5a71-b825-1283eb59d050?width=96&height=96&v=2,4.6,37
appliances,"The $199.95 Breville the Milk Cafe gradually froths milk, and can also heat it independently, with the choice of 4 temperature settings and 2 frothing discs to make milk-based drinks.",Breville Milk Cafe BMF600,https://cdn.productreview.com.au/resize/listing-picture/fb30064e-5b81-3a9f-a92a-c3181ad10296?width=96&height=96&v=2,3.8,262
appliances,"This $429 dual-auger cold-press juicer from Torus uses two augers to produce a high yield of juice, successfully extracting the nutrients and fibre from both hard and soft fruits and vegetables.",Torus Echo,https://cdn.productreview.com.au/resize/listing-picture/65202b9f-dc4e-4ab7-a80b-974ec34f6a99?width=96&height=96&v=2,4.8,32
appliances,"ry is my best employee and most trusted confidante. He works harder than a single mum and doesn't complain when we skip smoko. He's from the UK so he's vax'd, but I don't discriminate.",Numatic Henry,https://cdn.productreview.com.au/resize/listing-picture/566dbdd0-af0c-4016-99f3-e82c46bebb90?width=96&height=96&v=2,4.2,67
appliances,"ple of years old use it once a wk on carpet, cleaned regularly. Today it starting spitting sparks out the back filter and smelling of burning electrics, left burnt crumbly ash on ground",Kmart Anko 2200W Bagless,https://cdn.productreview.com.au/resize/listing-picture/1e9fdf49-2879-4165-8745-4f7fd328ae84?width=96&height=96&v=2,3.8,236
appliances,"Perfect for smaller households, the Fisher &amp; Paykel Series 3 Top Loader Washing Machines have thorough wash programs and high spin speeds, leaving you with fresh, clean laundry in no time",Fisher &amp; Paykel Series 3 Top Loader Washing Machines,,3.8,190
appliances,"Ideal for sealing large amounts of food, the FoodSaver Controlled Seal VS7850 is a handy kitchen tool to keep your meals fresher for longer.",FoodSaver Controlled Seal VS7850,https://cdn.productreview.com.au/resize/listing-picture/f4bf687f-e932-351e-af92-963d670f47d6?width=96&height=96&v=2,4.3,57
appliances,"With the tagline ‘Your bubbles, your way,’ Soda Stream lets you create your own fizzy drinks at home, using a provided stainless steel CO2 cylinder, water bottle, and soda syrup (sold separately)",Sodastream Spirit,https://cdn.productreview.com.au/resize/listing-picture/cf499873-c856-3321-a002-a52f91b95fe8?width=96&height=96&v=2,3.9,148
appliances," fridge functions well as a fridge overall. Keeps temperature well.
This fridge has a design fault with the Ice maker. It freezes up and you are unable to remove the Ice tray without defro",Samsung 719L French Door SRF71 Series,https://cdn.productreview.com.au/resize/listing-picture/5e7685a3-935c-48f9-adda-e77b8d1d6404?width=96&height=96&v=2,3.7,345
appliances,"e been using my magic bullet 1000 a couple of times a week for two years and although it’s been great for smoothies and home made hummus, quite often it just unscrews itself from the base in t",NutriBullet 1000,https://cdn.productreview.com.au/resize/listing-picture/54b275a3-ecc0-4af5-b350-a80c5e823277?width=96&height=96&v=2,3.8,177
appliances,"y to use. Blends well. Easy to clean. Good value for money.
Only downfall is that it is VERY loud.
I find I try to use it quickly because it is pain",Nutri Ninja Pro BL450,https://cdn.productreview.com.au/resize/listing-picture/46317ab1-1da1-4396-9e40-d974c5eece30?width=96&height=96&v=2,4.2,65
appliances,"The current model in the Fisher &amp; Paykel QuickSmart Front Loader range has 9 wash cycles, high energy and water ratings, and wash boost options that help you ensure optimal clothing care",Fisher &amp; Paykel QuickSmart Front Loader,,3.8,254
appliances,"The $189 DeLonghi DL2401TF quickly heats up a room, and can be turned off soon after it speedily performs a job well done.",DeLonghi DL2401TF,https://cdn.productreview.com.au/resize/listing-picture/4686b5f7-7c2c-5a95-ad37-9de4967f3d22?width=96&height=96&v=2,4.1,70
appliances,far the unit works very well. i found it cheaper in compare to same rivals. the temperature works fine. no issue. on top of that installation was easy and installed in a cheaper price by ,Dux Always Hot Continuous Flow,https://cdn.productreview.com.au/resize/listing-picture/b65e4530-1f5f-38dc-b798-64d3157a99bf?width=96&height=96&v=2,4.3,52
appliances,This spacious fridge by Fisher &amp; Paykel is ideal for storing a large grocery shop for the week without racking up an overwhelming energy bill.,Fisher &amp; Paykel ActiveSmart 519L Bottom Freezer (RF522B Series),,4.0,87
appliances,"The Serie 4 dishwashers by Bosch come with adjustable racks, a quiet wash and a 4-star energy and water ratings",Bosch Home Appliances Serie 4 Dishwashers,https://cdn.productreview.com.au/resize/listing-picture/613dd9ed-7cad-48a2-a834-7bbaf191b4bc?width=96&height=96&v=2,3.8,187
appliances,"Take the boredom out of ironing with the Laurastar Lift, a steam station that irons, steams and purifies your garments. Designed for those who want professional results in the comfort of their homes",Laurastar Lift,https://cdn.productreview.com.au/resize/listing-picture/f733472a-dabd-4bbf-b2fd-48a2876c2c45?width=96&height=96&v=2,4.3,46
appliances,"The majority of reviewers are happy with the Dyson Hot + Cool Link's performance, with around 70% of reviewers awarding it 4 or 5 stars. This is good news, considering that at $799, this is the most premium Dyson tower fan on the market.",Dyson Pure Hot+Cool Link,https://cdn.productreview.com.au/resize/listing-picture/4d5414a3-8397-424b-a520-dab4f458d244?width=96&height=96&v=2,3.8,193
appliances," Awesome Water 8 stage filter is the only filter I will use. It's produces great fresh tasting water, you can definitely taste the difference compared to tap water. Myself and my children",Awesome Water Filter 8 Stage Premium,https://cdn.productreview.com.au/resize/listing-picture/b4fc6ac1-78e8-4e4e-b0e3-d9701f062e2d?width=96&height=96&v=2,4.9,26
appliances,"With the tagline ‘Your bubbles, your way,’ Soda Stream lets you create your own fizzy drinks at home, using a provided CO2 cylinder, water bottle, and soda syrup (sold separately)",SodaStream Source Range,https://cdn.productreview.com.au/resize/listing-picture/7083b772-d195-3190-8df5-03853c06a8e2?width=96&height=96&v=2,3.8,176
appliances,reviously use to buy Miele vacuum cleaners but with pets the bags kept filling up too quickly so I moved on to Dyson as I wanted something bagless.  After owning 2 Dysons which I did not ra,Miele Blizzard CX1,https://cdn.productreview.com.au/resize/listing-picture/746ad55a-c05f-3ec1-8471-299d89c0936b?width=96&height=96&v=2,3.8,125
appliances,"As the highest-rated pedestal fan, the Infinity Fan provides all-over oscillation, which Sunbeam describes as moving air ‘up, down and all around.’ But what exactly does this mean",Sunbeam Infinity 40cm FA8900,https://cdn.productreview.com.au/resize/listing-picture/0388d5d7-5087-3cd7-8271-368d54301dac?width=96&height=96&v=2,3.9,98
appliances,remely easy to set up and very user friendly! Has a variety of different options and the cleaning results is amazing! Only scrape my dishes and it cleans fantastically! Absolutely inlove with,Bosch Serie 2 SMS40E08AU,https://cdn.productreview.com.au/resize/listing-picture/b55fc697-622b-4d2d-a712-05a69242771b?width=96&height=96&v=2,3.8,113
appliances,y quiet operation.  Can't hear when running unless closer than 2 meters away and then confirm its running by looking at the fan (because it is so quiet).  Out old electric HWS contributed 3,Sanden Eco Heat Pump,https://cdn.productreview.com.au/resize/listing-picture/6a2ddd3d-a5f5-3442-b4ae-0cdfa22fc8dc?width=96&height=96&v=2,4.0,93
appliances,"e this quick and easy soup machine. I have only made the smooth and creamy soups so far.
Looking forward to using the chunky function next. Love the auto clean function as well.
Sure makes t",Drew &amp; Cole Soup Chef,,4.8,26
appliances,Both automatic and custom settings on Breville’s The Custom Loaf Pro BBM800 let you stick to tried and true baking recipes as well as go against the grain to make a unique loaf of bread,Breville The Custom Loaf Pro BBM800,https://cdn.productreview.com.au/resize/listing-picture/6fdfb181-1d5d-3b54-bbe6-931c800c26f7?width=96&height=96&v=2,3.8,107
appliances," machine makes beautiful milk, and can make a good cup of coffee but it has two major flaws.
It makes a very bad espresso shot, watery and not hot enough (even after trying all different set",Breville the Barista Touch BES880,https://cdn.productreview.com.au/resize/listing-picture/b30d9e6c-1b0c-471d-94da-1c5d9899294d?width=96&height=96&v=2,4.3,45
appliances,urchased this stick vacuum in Dec 19 for two main reasons. We liked the soft timber floor head and second battery. The soft floor head was especially good as it glided well and didn't sc,LG CordZero A9,https://cdn.productreview.com.au/resize/listing-picture/f6bc57fa-e926-4f06-a504-b1461f63c1af?width=96&height=96&v=2,3.7,201
appliances,ought this juicer after reading multiple reviews and found it on sale at Harvey Norman. It’s easy to clean (some stuff in hot soapy water immediately after use) and some parts are dishwasher s,Breville Froojie Fountain BJE520,https://cdn.productreview.com.au/resize/listing-picture/f63e22ba-2e70-4176-8d12-06bdef3a3e20?width=96&height=96&v=2,4.4,38
appliances,e it ! We have had an iRobot and an Ecovac Ozmo. The Roborock is a million times better than either. The navigation is superb and the cleaning docking station is definitely worth the money.,Roborock S7+ with Dock,https://cdn.productreview.com.au/resize/listing-picture/4d7d3895-0a1f-4621-941c-d6210109532e?width=96&height=96&v=2,4.3,46
appliances,"stly, I have been grinding my own beans and have made my own coffee since last century and have owned several machines previously, this unit makes a ""great cup of coffee"", I am pleas",Breville Infuser BES840,https://cdn.productreview.com.au/resize/listing-picture/b4adfd5c-b32e-319c-9d2a-eeb1c6809743?width=96&height=96&v=2,3.8,108
appliances,"in, my wife strikes again.
I would have stuck with traditional fridge makers Westinghouse or Kelvinator or Whirlpool.
Fisher and Paykel?
She went for the expensive brand, again thinkin",Fisher &amp; Paykel 614L French Door RF610A Series,,3.6,287
appliances,"n I was doing my floor
It just shut off and never powered on again. You get what you pay for 
Nothing I do not recommend this
To my worst ",Kmart Anko 2000W Bagless,https://cdn.productreview.com.au/resize/listing-picture/d2005cb3-6777-458b-8abe-2c4710d93240?width=96&height=96&v=2,3.7,161
appliances,"could not get the Weber to heat up and stay alight so we could cook (per instructions)

We followed instructions for more than 5 times and each time the charcoals went out (even with",Weber Portable Charcoal Series,https://cdn.productreview.com.au/resize/listing-picture/db22996f-2935-400d-a70c-410630adae6d?width=96&height=96&v=2,4.4,37
appliances,"my seven years sporadically using this juicer, it has worked reliably and juices admirably for its type. Why sporadically? Produce is expensive, and juicers chew through produce like mad. H",Breville Juice Fountain Compact BJE200,https://cdn.productreview.com.au/resize/listing-picture/06bcfa4f-8416-43d4-93d2-2221ac213232?width=96&height=96&v=2,4.2,49
electronics,4 month old loves listening to songs on the Birde and it gives me at least 45 mins to have a break! I also use it in the car and that has been a game changer too. One of my favourite pro,Birde Console BC800,https://cdn.productreview.com.au/resize/listing-picture/21e8d0db-24d5-4d5c-b165-8b1f63f8059a?width=96&height=96&v=2,4.9,164
electronics,at communication. Arrived on time and fitted in less than ten minutes. Well explained and no hidden trickery of upselling. Surprised to find low tarrif rate times have changed. I don’t recall ,Powerpal Energy Monitor,https://cdn.productreview.com.au/resize/listing-picture/8c36964f-f9a2-4cb6-824f-01d52ec0fc70?width=96&height=96&v=2,4.6,751
electronics,"ght Feb 2021.Been 2 Asus service center @ Silverware, expect 2 week to repair. No display, when cold or warm boot. Worst just black out while using it. Other time, unresponsive to mouse clic",ASUS ROG Strix G15 G512LW-AZ003T,https://cdn.productreview.com.au/resize/listing-picture/d55cc043-916e-45ca-8d05-72d6285a6131?width=96&height=96&v=2,4.8,140
electronics," TUF Gaming FX506II Laptop is great for my needs, work and play. 

It is fast, the keypad has a great feel and the touchpad is smooth.

The picture is crisp and clear which I wasn't expectin",ASUS TUF Gaming A15,https://cdn.productreview.com.au/resize/listing-picture/0a2b3eb9-7b7e-42ec-8b9a-92341bcb29d8?width=96&height=96&v=2,4.7,187
electronics,"The Oricom UHF360 has a full 5 watts, an audio equaliser that ensures clear sound, and a rugged construction, making it a reliable unit to use to communicate, wherever you are",Oricom UHF360,https://cdn.productreview.com.au/resize/listing-picture/df1afa9a-ac67-4466-80a1-fe7236d20779?width=96&height=96&v=2,4.7,168
electronics,"e you people even used this machine. 

The track pad is the worst I have ever used. It is small and to right click, you have to tap the touch pad in exactly the right spot.  The keys o",ASUS ROG Zephyrus G14,https://cdn.productreview.com.au/resize/listing-picture/bedd13cc-dc01-499a-b00f-ce57edec0df4?width=96&height=96&v=2,4.7,147
electronics,"Since Bose invented noise-cancelling headphones, the pressure’s high for the brand to produce a creator of quiet. With 20-hours battery life and built-in Google Assistant and Amazon Alexa, the QuietComfort headphones sound appealingly convenient.",Bose QuietComfort 35 QC35 II,https://cdn.productreview.com.au/resize/listing-picture/b28a0b1b-f492-39c0-b867-1bb7863857bc?width=96&height=96&v=2,4.6,306
electronics,at for grandma who lives in aged care and has limited vision and a bit of dementia  The photos keep her in touch with the closests family members and the big buttons help with he,Oricom CARE80,https://cdn.productreview.com.au/resize/listing-picture/26bc97d8-e6c1-37fb-92af-ca66a7116b28?width=96&height=96&v=2,4.6,153
electronics,The Audio Technica ATH-M50x are headphones used by renowned audio engineers and famous producers such as Kevin Parker of Tame Impala.,Audio Technica ATH-M50x,https://cdn.productreview.com.au/resize/listing-picture/cd49804b-30dd-40d8-a692-82875dab5292?width=96&height=96&v=2,4.7,97
electronics," two screens make researching and typing at the same time a breeze. 
the smaller keyboard is a plus for small hands touch typing and the mousepad to the right side is perfect. usually i ha",ASUS ZenBook Duo UX481FL,https://cdn.productreview.com.au/resize/listing-picture/a30d3766-f028-4e70-82ae-4d315b58da06?width=96&height=96&v=2,4.8,87
electronics,"l, I have made a purchase for my IPhone 11 Pro, more than a year ago and the phone is still pretty perfect. The durability and camera quality is as new as ever. Same with the battery life, ",Apple iPhone 11 (2019),https://cdn.productreview.com.au/resize/listing-picture/2180ce1f-6e61-4484-8ed8-7a0bd20a4667?width=96&height=96&v=2,4.4,269
electronics, phone quality is awesome but is on heavier side for me. the camera is great and runs smoothly but it has a stupid os system how hard is it to turn off no u cant just push the power button u,Apple iPhone XR (2018),https://cdn.productreview.com.au/resize/listing-picture/576fd75b-6a64-4c9e-a011-07ded62388b2?width=96&height=96&v=2,4.4,245
electronics,"at small business PC, easy to use, decent size screen and is quick and reliable.
Has high resolution screen, the think pad takes a little time to get use to but is great once you get u",ASUS Zenbook UX434FAC,https://cdn.productreview.com.au/resize/listing-picture/3f68269d-6d67-4ef4-b132-de3b84870358?width=96&height=96&v=2,4.7,95
electronics,"elderly mother was not comfortable with changing from her home phone to using a mobile phone. When her landline was going to be disconnected, we identified this as an alternative option",Olitech EasyTel Mobile Homephone OLT2017,https://cdn.productreview.com.au/resize/listing-picture/d9ed3ad7-f371-4140-a376-4b3358593f30?width=96&height=96&v=2,4.6,110
electronics,"e been researching for quite sometime to buy a new ultrabook, had a sony 13' for 7 years, couldn't find a suitable replacement... the zenbook wasthe perfect price and weight, really thi",ASUS ZenBook 14 UX425JA,https://cdn.productreview.com.au/resize/listing-picture/13b15c42-3f9b-4bca-8455-ad1d5bac56e5?width=96&height=96&v=2,4.7,78
electronics,"With call and chat functions with trusted contacts, an SOS button, and Classroom mode that prevents disruption during school hours, the KidsOClock GL20 makes it safer to give kids mode independence while giving parents peace of mind",KidsOClock GL20,https://cdn.productreview.com.au/resize/listing-picture/bc90a643-b138-44da-8fc8-d0dc1a7be851?width=96&height=96&v=2,4.6,92
electronics,"ensive but a  great laptop, good battery life, specs were what I needed, however, early this year, THE DREADED BLACK SCREEN OF DEATH appeared. I tried every online fix, only option left ",Gigabyte Aero 15,https://cdn.productreview.com.au/resize/listing-picture/705e2710-03c5-3803-aa00-9914162a58b1?width=96&height=96&v=2,4.7,80
electronics,ll waiting for it to arrive. I already have one in my other 4wd and it has been a very good compact unit and the new one is to replace a 15yo full size Oricom as it wil,Oricom UHF305,https://cdn.productreview.com.au/resize/listing-picture/bbb2d1f1-e91f-4906-9bb9-19d05a68f5b0?width=96&height=96&v=2,4.6,93
electronics,"The Apple Watch Series 3 lets you call and text, track your health and fitness, and even pay for your morning coffee - all the essentials are right there on your wrist",Apple Watch Series 3,https://cdn.productreview.com.au/resize/listing-picture/f752ead1-419c-37c8-828f-f9ba6479ed70?width=96&height=96&v=2,4.3,443
electronics,"ad to format it as soon as I purchased, I got the blue crashing screen many times. Then I discovered that the touchpad was and still is the worst you could possibly have. It gets stuck al",ASUS TUF Gaming FX505DT,https://cdn.productreview.com.au/resize/listing-picture/ae052a1c-46ed-4180-9e8f-3d8518c305a7?width=96&height=96&v=2,4.7,79
electronics,4 month old loves listening to songs on the Birde and it gives me at least 45 mins to have a break! I also use it in the car and that has been a game changer too. One of my favourite pro,Birde Console BC800,https://cdn.productreview.com.au/resize/listing-picture/21e8d0db-24d5-4d5c-b165-8b1f63f8059a?width=96&height=96&v=2,4.9,164
electronics,at communication. Arrived on time and fitted in less than ten minutes. Well explained and no hidden trickery of upselling. Surprised to find low tarrif rate times have changed. I don’t recall ,Powerpal Energy Monitor,https://cdn.productreview.com.au/resize/listing-picture/8c36964f-f9a2-4cb6-824f-01d52ec0fc70?width=96&height=96&v=2,4.6,751
electronics,"ght Feb 2021.Been 2 Asus service center @ Silverware, expect 2 week to repair. No display, when cold or warm boot. Worst just black out while using it. Other time, unresponsive to mouse clic",ASUS ROG Strix G15 G512LW-AZ003T,https://cdn.productreview.com.au/resize/listing-picture/d55cc043-916e-45ca-8d05-72d6285a6131?width=96&height=96&v=2,4.8,140
electronics," TUF Gaming FX506II Laptop is great for my needs, work and play. 

It is fast, the keypad has a great feel and the touchpad is smooth.

The picture is crisp and clear which I wasn't expectin",ASUS TUF Gaming A15,https://cdn.productreview.com.au/resize/listing-picture/0a2b3eb9-7b7e-42ec-8b9a-92341bcb29d8?width=96&height=96&v=2,4.7,187
electronics,"The Oricom UHF360 has a full 5 watts, an audio equaliser that ensures clear sound, and a rugged construction, making it a reliable unit to use to communicate, wherever you are",Oricom UHF360,https://cdn.productreview.com.au/resize/listing-picture/df1afa9a-ac67-4466-80a1-fe7236d20779?width=96&height=96&v=2,4.7,168
electronics,"e you people even used this machine. 

The track pad is the worst I have ever used. It is small and to right click, you have to tap the touch pad in exactly the right spot.  The keys o",ASUS ROG Zephyrus G14,https://cdn.productreview.com.au/resize/listing-picture/bedd13cc-dc01-499a-b00f-ce57edec0df4?width=96&height=96&v=2,4.7,147
electronics,"Since Bose invented noise-cancelling headphones, the pressure’s high for the brand to produce a creator of quiet. With 20-hours battery life and built-in Google Assistant and Amazon Alexa, the QuietComfort headphones sound appealingly convenient.",Bose QuietComfort 35 QC35 II,https://cdn.productreview.com.au/resize/listing-picture/b28a0b1b-f492-39c0-b867-1bb7863857bc?width=96&height=96&v=2,4.6,306
electronics,at for grandma who lives in aged care and has limited vision and a bit of dementia  The photos keep her in touch with the closests family members and the big buttons help with he,Oricom CARE80,https://cdn.productreview.com.au/resize/listing-picture/26bc97d8-e6c1-37fb-92af-ca66a7116b28?width=96&height=96&v=2,4.6,153
electronics,The Audio Technica ATH-M50x are headphones used by renowned audio engineers and famous producers such as Kevin Parker of Tame Impala.,Audio Technica ATH-M50x,https://cdn.productreview.com.au/resize/listing-picture/cd49804b-30dd-40d8-a692-82875dab5292?width=96&height=96&v=2,4.7,97
electronics," two screens make researching and typing at the same time a breeze. 
the smaller keyboard is a plus for small hands touch typing and the mousepad to the right side is perfect. usually i ha",ASUS ZenBook Duo UX481FL,https://cdn.productreview.com.au/resize/listing-picture/a30d3766-f028-4e70-82ae-4d315b58da06?width=96&height=96&v=2,4.8,87
electronics,"l, I have made a purchase for my IPhone 11 Pro, more than a year ago and the phone is still pretty perfect. The durability and camera quality is as new as ever. Same with the battery life, ",Apple iPhone 11 (2019),https://cdn.productreview.com.au/resize/listing-picture/2180ce1f-6e61-4484-8ed8-7a0bd20a4667?width=96&height=96&v=2,4.4,269
electronics, phone quality is awesome but is on heavier side for me. the camera is great and runs smoothly but it has a stupid os system how hard is it to turn off no u cant just push the power button u,Apple iPhone XR (2018),https://cdn.productreview.com.au/resize/listing-picture/576fd75b-6a64-4c9e-a011-07ded62388b2?width=96&height=96&v=2,4.4,245
electronics,"at small business PC, easy to use, decent size screen and is quick and reliable.
Has high resolution screen, the think pad takes a little time to get use to but is great once you get u",ASUS Zenbook UX434FAC,https://cdn.productreview.com.au/resize/listing-picture/3f68269d-6d67-4ef4-b132-de3b84870358?width=96&height=96&v=2,4.7,95
electronics,"elderly mother was not comfortable with changing from her home phone to using a mobile phone. When her landline was going to be disconnected, we identified this as an alternative option",Olitech EasyTel Mobile Homephone OLT2017,https://cdn.productreview.com.au/resize/listing-picture/d9ed3ad7-f371-4140-a376-4b3358593f30?width=96&height=96&v=2,4.6,110
electronics,"e been researching for quite sometime to buy a new ultrabook, had a sony 13' for 7 years, couldn't find a suitable replacement... the zenbook wasthe perfect price and weight, really thi",ASUS ZenBook 14 UX425JA,https://cdn.productreview.com.au/resize/listing-picture/13b15c42-3f9b-4bca-8455-ad1d5bac56e5?width=96&height=96&v=2,4.7,78
electronics,"With call and chat functions with trusted contacts, an SOS button, and Classroom mode that prevents disruption during school hours, the KidsOClock GL20 makes it safer to give kids mode independence while giving parents peace of mind",KidsOClock GL20,https://cdn.productreview.com.au/resize/listing-picture/bc90a643-b138-44da-8fc8-d0dc1a7be851?width=96&height=96&v=2,4.6,92
electronics,"ensive but a  great laptop, good battery life, specs were what I needed, however, early this year, THE DREADED BLACK SCREEN OF DEATH appeared. I tried every online fix, only option left ",Gigabyte Aero 15,https://cdn.productreview.com.au/resize/listing-picture/705e2710-03c5-3803-aa00-9914162a58b1?width=96&height=96&v=2,4.7,80
electronics,ll waiting for it to arrive. I already have one in my other 4wd and it has been a very good compact unit and the new one is to replace a 15yo full size Oricom as it wil,Oricom UHF305,https://cdn.productreview.com.au/resize/listing-picture/bbb2d1f1-e91f-4906-9bb9-19d05a68f5b0?width=96&height=96&v=2,4.6,93
electronics,"The Apple Watch Series 3 lets you call and text, track your health and fitness, and even pay for your morning coffee - all the essentials are right there on your wrist",Apple Watch Series 3,https://cdn.productreview.com.au/resize/listing-picture/f752ead1-419c-37c8-828f-f9ba6479ed70?width=96&height=96&v=2,4.3,443
electronics,"ad to format it as soon as I purchased, I got the blue crashing screen many times. Then I discovered that the touchpad was and still is the worst you could possibly have. It gets stuck al",ASUS TUF Gaming FX505DT,https://cdn.productreview.com.au/resize/listing-picture/ae052a1c-46ed-4180-9e8f-3d8518c305a7?width=96&height=96&v=2,4.7,79
electronics,"The popular Apple Airpods are a convenient and stylish way to listen to music on the go. Simply pop them back into their sleek and compact charging case, and slide them into your pocket when you’re done.",Apple AirPods,https://cdn.productreview.com.au/resize/listing-picture/3bb8d63f-8ad7-4fcc-853a-be376bfabf9c?width=96&height=96&v=2,4.2,430
electronics,"At $69, these JBL on-ear headphones are some of the most reasonably-priced wireless Bluetooth headphones, and with plenty of positive reviews to boot.",JBL Tune 450BT,https://cdn.productreview.com.au/resize/listing-picture/9db6c2ab-406e-3a00-8b23-e48512c7c3f2?width=96&height=96&v=2,4.3,192
electronics," camera takes nice, clear crisp photos but I haven't used it in night mode.
It has a long enough battery life for my uses so very happy with that.
I also play a few games and they all run",Apple iPhone 11 Pro Max (2019),https://cdn.productreview.com.au/resize/listing-picture/7f9b6bbf-570b-4c94-a9d8-5e0926270728?width=96&height=96&v=2,4.5,90
electronics,"ts all our needs. 
Looking for a capable laptop that could work my graphics programs whilst also good for gaming for my child- found the perfect device. 
Now every",ASUS TUF Gaming F15 FA506IV-AL043T,https://cdn.productreview.com.au/resize/listing-picture/3cbc5906-2b8c-4ce7-9641-5fe2e54d523a?width=96&height=96&v=2,4.6,72
electronics,"With a strong connection, wide range, and an arsenal of easy-to-use features, the ASUS RT-AC68U helps you connect to the world around you",ASUS RT-AC68U,https://cdn.productreview.com.au/resize/listing-picture/3bc546a8-afff-34d0-9ef0-1c367219b831?width=96&height=96&v=2,4.3,138
electronics,"At $330, the Bose SoundLink headphones are one of the more affordable models of over-ear headphones by Bose.",Bose SoundLink Around-Ear II,https://cdn.productreview.com.au/resize/listing-picture/aee809df-e0a7-3c19-a1da-ec71fde51e6f?width=96&height=96&v=2,4.5,75
electronics, did it get a US Military grading?  The screen was easily broken therefore not suitable for my use.  Happy with the rest of it though. Due to the flimsy construction I would not get an,ASUS Zenbook Flip UX463FA,https://cdn.productreview.com.au/resize/listing-picture/d6fb704e-d1c8-4734-93da-7b8b95e648ea?width=96&height=96&v=2,4.6,64
electronics,93 year old Dad has found his OLITECH FLIP easy to use which is great for us. We have been able to stay connected despite hiss difficulty with new technology. Dad had a problem with the ,Olitech EasyFlip (2019),https://cdn.productreview.com.au/resize/listing-picture/f9e50de2-5295-4eef-b919-4906ac5feacd?width=96&height=96&v=2,4.2,152
electronics,"complaints with the realme6. Cost 1/2 the price of my work phone, Samsung Galaxy A51, and is better in all aspects. Delivery took almost 2 weeks, but other than that I am ",Realme 6 (2020),https://cdn.productreview.com.au/resize/listing-picture/84fd35e9-c988-4434-a33b-bca3071fed3a?width=96&height=96&v=2,4.5,69
electronics,"Designed to stay in your ears during a demanding workout, the Bose Soundsport Wireless Headphones have a sweat and weather-resistant design, so that you can keep moving rain, hail, or shine",Bose SoundSport Wireless,https://cdn.productreview.com.au/resize/listing-picture/2f837f75-bee0-4333-8f20-76cebe90217f?width=96&height=96&v=2,4.2,147
electronics,ave tinnitus  and loud noises make it  worse. So when we decided to live on board a power catamaran with very noisy engines I was a bit  concerned!  I had bought noise cancelling head p,Bose QuietComfort 20 QC20,https://cdn.productreview.com.au/resize/listing-picture/b3749fd7-1151-4c6b-81ce-df8b269fcfcb?width=96&height=96&v=2,4.3,95
electronics,ght for a touring rig we are putting together. Great when used in a group as we can monitor our channel and listen to 40. Easy to install and good volume on ,Oricom DTX4200X,https://cdn.productreview.com.au/resize/listing-picture/12743c1b-4ca6-4b4d-a77e-3b332a737400?width=96&height=96&v=2,4.8,43
electronics,"ks great had no problems running a camp fridge and campervan for 10 days with solar
Nice and light ,it was bashed around frazer island and Morton  never ran o",VoltX 12V 100ah LiFePO4 Lithium Battery,https://cdn.productreview.com.au/resize/listing-picture/7c0b0a6d-5fea-5db0-b9e4-4ca0f2ba25c3?width=96&height=96&v=2,4.8,39
electronics,"With noise cancellation and the ability to adjust its own sound settings to adapt to factors like your head size and environment, the Sony WH-1000XM3 Wireless Headphones ensure that your music is optimised to suit you",Sony WH-1000XM3,https://cdn.productreview.com.au/resize/listing-picture/694bbcd8-ef16-4afa-b99d-cf38d443af9c?width=96&height=96&v=2,4.2,129
electronics,"y engaging at close range such as a desk with tremendous and accurate bass especially for their size.

Better still if you have a wooden floor which can load up the low frequencies, from w",Logitech Z623 Computer Speakers,https://cdn.productreview.com.au/resize/listing-picture/7b70a09f-0179-3e5a-be51-c4b2d69715d2?width=96&height=96&v=2,4.5,55
electronics," round good computer. Its light, compact but a good size to play games on. The build is good enough for me to play xbox games and other high demand games when I'm away from home. Its also the",Asus FX506IU,https://cdn.productreview.com.au/resize/listing-picture/4aa3ec35-af68-42b4-84c7-9f75ccc3ba24?width=96&height=96&v=2,4.9,36
