title,date_of_patent,patent_n,description,type,assignees,inventors
Preventing execution of programs that are embedded in email messages,"October 6, 2020",1079812,"Systems and methods are presented which generate modified email messages, which are largely devoid of embedded functions, from original email messages, which have embedded functions. The embedded functions are amenable to self-executing codes such as viruses, worms, and Trojan programs. Thus, the modified email message without these embedded functions, and any argument associated with these functions, provides a more secure email environment.
                        ",Grant,"UberTechnologies,Inc.","W. Todd Daniell, Dale W. Malik"
Network system for multi-leg transport,"September 29, 2020",1078832,"A multi-leg transport system receives a transport request and determines a number of transfer locations between the origin location and the destination. The system selects a first provider to transport the user from the origin location to a transfer location and remotely monitors the position of the user as the user travels to the transfer location. In response to determining that the travel time to the transfer location is within a threshold, the system selects a second provider to transport the user from the transfer location to either the next transfer location or the destination for the transport request.
                        ",Grant,"UberTechnologies,Inc.","Bin Wu, Khang Tran, Yuehai Xu, Ruiyan Zhou, Anurag Gupta, Vishnu Srinivasan Sundaresan, Meisam Vosoughpour Yazdchi, Yawen Wei"
System and method for optimizing indirect encodings in the learning of mappings,"September 15, 2020",1077669,"Methods, systems and apparatuses, including computer programs encoded on computer storage media, are provided for learning or optimizing an indirect encoding of a mapping from digitally-encoded input arrays to digitally-encoded output arrays, with numerous technical advantages in terms of efficiency and effectiveness.
                        ",Grant,"UberTechnologies,Inc.","Zoubin Ghahramani, Gary Marcus"
Dynamic display of route preview information,"September 1, 2020",1076091,"A transportation management system matches drivers with riders. After a rider has been picked up by a driver, a navigation route from the rider's pickup location to the driver's next stop is displayed to the driver on a mobile computing device. Prior to picking up the rider, only an initial portion of the navigation route is displayed to the driver. The amount of the initial portion displayed to the driver is dynamically determined according to its navigational complexity.
                        ",Grant,"UberTechnologies,Inc.","Christopher Moore, Evelyn Kim, Christine Misuye Tao, Nadeem Malik, Paweena Attayadmawittaya, Christopher Haugli, Jayant B. Sai, Christopher Michael Sanchez, Cady Wachsman, Janice J Suh"
Predicting user state using machine learning,"September 1, 2020",1076244,"A system coordinates services between users and providers. The system trains a computer model to predict a user state of a user using data about past services. The prediction is based on data associated with a request submitted by a user. Request data can include current data about the user's behavior and information about the service that is independent of the particular user behavior or characteristics. The user behavior may be compared against the user's prior behavior to determine differences in the user behavior for this request and normal behavior of prior requests. The system can alter the parameters of a service based on the prediction about the state of the user requesting the service.
                        ",Grant,"UberTechnologies,Inc.","Michael O'Herlihy, Rafiq Raziuddin Merchant, Nirveek De, Jordan Allen Buettner"
Safe vertical take-off and landing aircraft payload assignment,"September 1, 2020",1075953,"Vertical take-off and landing (VTOL) aircraft can provide opportunities to incorporate aerial transportation into transportation networks for cities and metropolitan areas. However, VTOL aircraft can be sensitive to uneven weight distributions, e.g., the payload of an aircraft is primarily loaded in the front, back, left, or right. When the aircraft is loaded unevenly, the center of mass of the aircraft may shift substantially enough to negatively impact performance of the aircraft. Thus, in turn, there is an opportunity that the VTOL may be loaded unevenly if seating and/or luggage placement is not coordinated. Among other advantages, dynamically assigning the VTOL aircraft payloads can increase VTOL safety by ensuring the VTOL aircraft is loaded evenly and meets all weight requirements; can increase transportation efficiency by increasing rider throughput; and can increase the availability of the VTOL services to all potential riders.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Mark Moore, John Conway Badalamenti, Ian Villa, Adam Warmoth, David Josephson, Jeffrey A. Holden"
Cooperative system and method for precise autonomous delivery,"November 3, 2020",RE4829,"A system for delivery of payload at a precise location by autonomous delivery vehicle. A machine-readable unique identifier is laid at a place where a user wants delivery of an item. User opens a precise delivery app on smartphone, activates the scanner and standing near the unique identifier scans it. Precise delivery app reads the unique identity of the unique identifier and collects the geophysical location of the smartphone. Third party system feeds this information of the target unique identifier to the autonomous vehicle. The autonomous delivery vehicle includes a first prior art navigator and a second scanner navigator. The autonomous vehicle determines its route to the approximate location of the target unique identifier with the help of the first prior art navigator and the second scanner navigator scans every unique identifier that may be present around that location and guides the autonomous vehicle to the target unique identifier.
                        ",Grant,"UberTechnologies,Inc.","Daniel Ian Zwillinger, Ronald Douglas Hettich, John Cogliandro"
Safe vertical take-off and landing aircraft payload assignment,"August 25, 2020",1075236,"Vertical take-off and landing (VTOL) aircraft can provide opportunities to incorporate aerial transportation into transportation networks for cities and metropolitan areas. However, VTOL aircraft can be sensitive to uneven weight distributions, e.g., the payload of an aircraft is primarily loaded in the front, back, left, or right. When the aircraft is loaded unevenly, the center of mass of the aircraft may shift substantially enough to negatively impact performance of the aircraft. Thus, in turn, there is an opportunity that the VTOL may be loaded unevenly if seating and/or luggage placement is not coordinated. Among other advantages, dynamically assigning the VTOL aircraft payloads can increase VTOL safety by ensuring the VTOL aircraft is loaded evenly and meets all weight requirements; can increase transportation efficiency by increasing rider throughput; and can increase the availability of the VTOL services to all potential riders.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Mark Moore, John Conway Badalamenti, Ian Villa, Adam Warmoth, David Josephson, Jeffrey A. Holden"
Alternative service pathway for service application,"August 25, 2020",1075722,"A processor of a client device attempts to load a service using a first application that is pre-configured to communicate with a provider of the service during an initial loading of the first application. The processor determines that the first application has failed to load the service and responsively re-attempts to load the service using the first application. In response to determining that the first application has again failed to load the service during the re-attempt, the processor launches a second application that is not pre-configured to communicate with the provider during an initial loading of the second application. The processor retrieves, using the second application, from the provider, parameters for loading the service, and loads the service, using the second application, based on the parameters.
                        ",Grant,"UberTechnologies,Inc.","Benjamin Andrew Hjerrild, Naveen Pilanku Narayanan, Bruce McLaren Stanley, Jr."
Dynamic support information based on contextual information,"August 11, 2020",1074085,"A server provides a customized support interface to a user that is requesting assistance regarding a service that the user received. The server provides a support interface that is customized for the user based on data related to the service and the user's past behavior. By providing a customized support interface, the user is more easily able to report any grievances that the user may have had with the service thereby reducing any further user aggravation.
                        ",Grant,"UberTechnologies,Inc.","Michael O'Herlihy, Meron Alon, Karna Chokshi"
Routing device that modifies route guidance based on user input,"August 11, 2020",1073914,"A vehicle routing device that determines a route from an origin to a destination including route guidance. The route guidance is modified based on user input. The modification can supply increased or reduced route guidance at intervals along the route. Route guidance may be modified to incorporate landmarks and personal contacts.
                        ",Grant,"UberTechnologies,Inc.","Esther Abramovich Ettinger, Gil Emanuel Fuchs"
Mutual augmented reality experience for users in a network system,"August 11, 2020",1074061,"A network system, such as a transport management system, generates a mutual augmented reality (AR) experience for a user and a provider associated with a service. Responsive to receiving a service request, a service management module matches the user with an available provider and monitors the location of the user and provider client devices as the user and provider travel to the pickup location. When the devices are within a threshold distance of each other, an image recognition module monitors live video streams on the devices for the vehicle and the user. Responsive to the vehicle and user entering the field of view of the devices, an AR control module selects computer-generated AR elements and instructs the devices to visually augment the video streams to identify the user and provider to each other and to allow the user and provider to communicate and share data with each other.
                        ",Grant,"UberTechnologies,Inc.","Aaron Matthew Rogan, Wes Leung, Nicolas Garcia Belmonte, Ramik Sadana"
Characterizing content with a predictive error representation,"August 11, 2020",1074061,"A media item comprising a set of frames is received by a feature extraction system. A frame predictor is executed on each frame of the set of frames. An error representation is extracted for each frame of the set of frames during the execution of the frame predictor. An error-based feature vector is generated from the error representations associated with each frame of the set of frames. A seed media item is identified having a first error-based feature vector. A similarity score is determined among the first error-based feature vector and each error-based feature vector of a set of error-based feature vectors. A subset of error-based feature vectors, hence a subset of corresponding media items, is selected based on similarity score.
                        ",Grant,"UberTechnologies,Inc.","Pegah Massoudifar, Vijay Mahadevan, Jonathan Berliner"
Network computer system to coordinate delivery of network content to service providers,"August 11, 2020",1074314,"A computer system can detect a trigger in connection with an activity performed by a service provider, and determine (i) a first content item associated with the detected trigger and a second content item associated with the detected trigger, and (ii) select a set of service parameters relating to a service session of the service provider based on the first content item and the second content item. Additionally, the computer system can obtain feature data of the first content item and the second content item. Based on the feature data of the first content item and the second content item, the computer system can determine that a corresponding graphical representation of the first content item and of the second content item overlap for a given time interval. Based on a set of prioritization rules, the computer system can select one of the first or second content item and generate the corresponding graphical representation of the selected one of the first or second content item for the given time interval.
                        ",Grant,"UberTechnologies,Inc.","Ashley Quitoriano, Kamran Massoudi, Arundhati Singh, James Callender"
System and method for providing dynamic supply positioning for on-demand services,"August 11, 2020",1074313,"A method for providing on-demand service information is provided. One or more processors determine, for a given geographic region, position information for each of a plurality of requesters for an on-demand service and position information for each of a plurality of service providers that can provide the on-demand service. A plurality of sub-regions is identified for the given geographic region. Based, at least in part, on the position information of the requesters and the service providers, one or more sub-regions are determined as being under-supplied by the plurality of service providers as compared to one or more other sub-regions. Information identifying the under-supplied sub-regions are provided to one or more service provider devices.
                        ",Grant,"UberTechnologies,Inc.","Hungyu Henry Lin, Travis Cordell Kalanick, Emily Wang"
Network computer system to evaluate an operator of a freight vehicle,"August 11, 2020",1074107,"A network computer system can associate an operator with a mobile device. Additionally, the network computer system can determine a current location of a freight vehicle operated by the operator, using location information transmitted by the mobile device associated with the operator. At a given instance, the network computer system can determine a time of arrival for the freight vehicle to arrive at a given destination location based on various parameters. For example, the time of arrival can be based at least in part, on (i) a distance between the current location of the freight vehicle to the given destination location, (ii) a time for the freight vehicle to travel the distance, and (iii) a duration of one or more required downtime intervals during which one or more restrictions are placed on the operator operating the freight vehicle.
                        ",Grant,UberTechnologiesInc.,"Luis Madrigal, Eyal Lasker, Xiao Guo, Padmini Pyapali, Tony Ran Zhang"
Network computer system to arrange pooled transport services,"August 4, 2020",1073199,"A network computer system operates to receive a plurality of service requests over a given time interval, where individual service requests specify a respective target destination and a current location of a respective requester device. For each service request, the network computer system arranges a pooled transport service for the corresponding requester by selecting a service start location, and instructions for enabling the requester to travel to the service start location. The network computer system may select the service provider based on a variety of considerations, including the service start location, the current location of the corresponding service provider, and the determined time interval.
                        ",Grant,"UberTechnologies,Inc.","Miraj Rahematpura, John Mark Nickels, Eoin O'Mahony, Danhua Guo, Vishnu Sundaresan, Lior Seeman, Meisam Vosoughpour"
Inferential user matching system,"August 4, 2020",1073325,"An inferential user matching system can determine a mutual interest between a first user and a second user based on inferred trends corresponding to a set of usage behaviors by a plurality of users utilizing the system. Based on determining the mutual interest, the system can transmit, over one or more networks, a representation of the first and/or second user to the portable computing device of other user and monitor the first and/or second user to detect an expression of interest. Based on detecting the expression of interest, the system can transmit an expression of interest indication to a portable device(s) of the first and/or second user.
                        ",Grant,"UberTechnologies,Inc.","Steven Dennis Flinn, Naomi Felina Moneypenny"
Object verification for a network-based service,"August 4, 2020",1073347,"A mobile computing device can capture a plurality of images of an object to be verified using a camera of the mobile computing device. A first image of the plurality of images is captured while a flash of the mobile computing device is deactivated and a second of the plurality of images is captured while the flash is activated. The verification data can include a first set of verification metrics, which is representative of the light reflectivity of the object, and can be generated by the mobile computing device or a network service by analyzing the first and second images.
                        ",Grant,UberTechnologiesInc.,"Richard Ash, Lenny Evans, Derrick Ongchin"
Promoting user compliance with adaptive checkpoints,"August 4, 2020",1073200,"A system determines a route for a user and creates checkpoints along the route to encourage the user to follow the suggested route. For example, a ride sharing system may encourage users with vehicles to move toward regions where rides are in highest demand by offering a route to that region with checkpoints along the way. A user may receive a reward upon reaching a checkpoint. The system may adapt checkpoints to user types. Models are trained to output rule sets for placing checkpoints along a route and assigning values to the checkpoints. In some embodiments, the models are trained according to categories of users, so that the checkpoints can be placed in a way that will encourage the user to comply with a route. When a user strays from a suggested route, the system generates an updated set of checkpoints to encourage the user to return to the route.
                        ",Grant,"UberTechnologies,Inc.","Srikanth Jalasutram, Guillaume Lachaud, Varun Krishna Rau, Abhay Vardhan"
Pre-selection drivers in a passenger transport system,"August 4, 2020",1073354,"In some locations, such as airports, drivers that provide passenger transport must wait a significant distance away from the pickup location. To reduce the delay between a passenger requesting a ride and being picked up, drivers are pre-dispatched before being assigned to specific passengers. The demand for a future time period is predicted and the number of drivers that should be pre-dispatched to meet that demand is estimated. The estimated number of drivers is sent pre-dispatch instruction indicating they should leave the waiting area and head towards the pickup location.
                        ",Grant,"UberTechnologies,Inc.","Lei Zhao, Feng Zhao, Vincent Yates, Marc Pottier"
Generating compressed representation neural networks having high degree of accuracy,"July 28, 2020",1072633,"Machine learning based models, for example, neural network models employ large numbers of parameters, from a few million to hundreds of millions or more. A machine learning based model is trained using fewer parameters than specified. An initial parameter vector is initialized, for example, using random number generation based on a seed. During training phase, the parameter vectors are modified in a subspace around the initial vector. The trained model can be stored or transmitted using seed values and the trained parameter vector in the subspace. The neural network model can be uncompressed using the seed values and the trained parameter vector in the subspace. The compressed representation of neural networks may be used for various applications such as generating maps, object recognition in images, processing of sensor data, natural language processing, and others.
                        ",Grant,"UberTechnologies,Inc.","Jason Yosinski, Chunyuan Li, Ruoqian Liu"
Verifying sensor data using embeddings,"July 28, 2020",1072870,"A network system analyzes data samples using embeddings based on, for example, symbolic representations of the data samples or representations in latent dimension space. The network system coordinates providers who provide geographical location-based services to users. The network system may receive data samples from the client device of a provider. For instance, a sensor of the client device captures the data samples during a transportation service along a particular route. To verify that the data samples accurately indicate the location or movement of the provider, the network system can generate a test embedding representing the data samples and compare the test embedding with a reference embedding. The reference embedding is generated based on data samples captured for other similar services, e.g., corresponding to providers who also provided transportation services along the same particular route.
                        ",Grant,"UberTechnologies,Inc.",Fahrettin Olcay Cirit
Graphical user interface map feature for a network service,"July 21, 2020",1071996,"A mobile computing device operated by a service provider or a user of a network-based service is configured to present a graphical user interface (GUI) map feature. The GUI map feature includes a map layer and a visual data layer for displaying one or more visual representations of service data associated with the network-based service. The mobile computing device is configured to determine a set of anchor coordinates for the GUI map feature and retrieve a set of service data based at least in part on the set of anchor coordinates. The set of service data can include a first set of service data associated with a map area to be illustrated by the GUI map feature and a second set of service data associated with a buffer area. The second set of service data can be retrieved based further on an image processing parameter.
                        ",Grant,"UberTechnologies,Inc.","James Callender, Adam Share"
Dynamic scheduling system for planned service requests,"July 21, 2020",1072132,"A computer system monitors a set of computing resources of a user to determine a planned user event, as well as a set of service parameters for the planned user event. The computer system may further schedule a service request for the planned user event, based at least in part on the event location. Additionally, the computer system may perform an action on behalf of the user with respect to initiating the service request at a scheduled time.
                        ",Grant,"UberTechnologies,Inc.","Gang Cheng, Jason Chionh, Jonathan Kantrowitz, Oren Freiberg, Juncao Li, Jie Zhang"
Predicting safety incidents using machine learning,"July 21, 2020",1072005,"A safety system associated with a travel coordination system collects safety data describing safety incidents by providers and generates a plurality of safety incident prediction models using the safety data. The safety incident prediction models predict likelihoods that providers in the computerized travel coordination system will be involved in safety incidents. Two types of safety incidents predicted by the safety system include dangerous driving incidents and interpersonal conflict incidents. The safety system uses the plurality of safety incident prediction models to generate a set of predictions indicating probabilities that a given provider in the travel coordination system will be involved in a safety incident in the future. The safety system selects a safety intervention for the given provider responsive to the set of predictions and performs the selected safety intervention on the given provider.
                        ",Grant,"UberTechnologies,Inc.",Sangick Jeon
Target addressing system,"July 21, 2020",1072005,"A system can receive requests for services from computing devices of users of s network service. For each of the requests, the system can determine a vehicle stopping location for a driver of a vehicle that is to service the request, and transmit an instruction set to the computing device of the driver. The instruction set can indicate (i) the vehicle stopping location for a vehicular portion of the service, and (ii) a path for the driver from the vehicle stopping location to a target location, where the path is to be followed by the driver upon parking the vehicle at the vehicle stopping location.
                        ",Grant,"UberTechnologies,Inc.",Matthew Sweeney
Network system to determine a route based on timing data,"July 14, 2020",1071216,"A computer system can estimate preparation times associated with items offered by a plurality of entities to manage a service over a given geographic region. The computer system can receive, from a user device of a user, a request that includes a selection of one or more items offered by one or more entities near the service location. The network system can determine an optimal route of navigation for a service provider to navigate in fulfilling the request. The route of navigation can be determined based at least in part on timing information associated with the one or more items selected by the user. The timing information can be determined based on historical data and/or real-time data.
                        ",Grant,"UberTechnologies,Inc.","Jason Droege, Stephen Chau, Andrew Timothy Szybalski"
Optimizing listing efficiency and efficacy for a delivery coordination system,"July 14, 2020",1071331,"A delivery coordination system selects restaurant listings for presentation to a user by filtering out restaurants that are unlikely to be of interest to the user, while ensuring that restaurant listings are selected to encourage the success of all restaurants using the delivery coordination system. In response to receiving the listings request from a client device, the delivery coordination system selects a filtered set of restaurant listings from the plurality of restaurant listings stored by the delivery coordination system by applying filtering criteria to the plurality of stored restaurant listings. The delivery coordination system generates conversion scores for the restaurant in the filtered set of restaurant listings and selects restaurant listings to present to the user from the filtered set of restaurant listings based on selection factors, which can include the generated conversion scores. The delivery coordination system transmits the selected restaurant listings to the client device.
                        ",Grant,"UberTechnologies,Inc.","Xian Xing Zhang, Sidney Zhang, Yuyan Wang, Mihir Gogate, Yuanchi Ning, Chen Peng, Isaac Liu, Calvin Lee"
Geocoding locations near a specified city,"July 14, 2020",1071328,"Specified streets or intersections that are within a specified distance of a specified city can be found by a search, even when they are not actually in that city. For computational efficiency, some addresses are included in search results even when they exceed the specified distance from the specified city by a small amount (“false positives”). The search method guarantees that no instance of the street name within the specified distance of the specified city is erroneously missed (“false negatives”).
                        ",Grant,"UberTechnologies,Inc.","Brian E. Smartt, Richard F. Poppen, Linnea A. Dunn"
Anticipating user dissatisfaction via machine learning,"July 14, 2020",1071359,"A server of a transportation network determines characteristics of trips provided to users, as well as the usage of the services by users. Using the determined characteristics, the server trains a model that, for a given set of trips for a user, estimates a degree of likely user dissatisfaction with the trips. Based on the estimated degree of user dissatisfaction, the system can estimate user dissatisfaction in real time, directly after completion of a trip, and can take remedial actions should the user be estimated to be likely dissatisfied.
                        ",Grant,"UberTechnologies,Inc.","Fei Guo, Shiyun Huang, Dajiang Wei"
Location search using dynamic regions generated based on service data,"July 14, 2020",1071595,"Systems and methods for improving a location search process are provided. In example embodiments, a networked system receives an indication of a search being performed at a user device. The networked system detects a location of the user device. Based on the location of the user device, the networked system identifies a dynamically generated region in which to perform the search that corresponds to the location of the user device. Based on a search term, the networked system performs the search in the dynamically generated region corresponding to the location of the user device. A result of the search is presented on the user device.
                        ",Grant,"UberTechnologies,Inc.","Yu Zhang, Ye Fan"
Efficient VTOL resource management in an aviation transport network,"July 14, 2020",1071395,"A transport network management system identifies a service objective for a plurality of VTOL aircraft and retrieves VTOL data including locations of the plurality of VTOL aircraft. An estimate of demand for transport services to be provided at least in part by one of the VTOL aircraft is generated and routing data for the plurality of VTOL aircraft is determined based on the estimated demand and the service objective. Routing instructions based on the routing data are sent to at least a subset of the VTOL aircraft.
                        ",Grant,"UberTechnologies,Inc.","Nikhil Goel, Jon Petersen, John Badalamenti, Mark Moore"
Reverse geocoding system,"July 7, 2020",1070870,"Systems and methods are provided for receiving geographic coordinates for a location, generating a plurality of candidate places located within a predetermined distance from the location based on the geographic coordinates of the location, and extracting a plurality of features from each candidate place of the plurality of candidate places. The systems and methods are further provided for generating a place score for each candidate place of the plurality of candidate places using the plurality of features for each candidate place of the plurality of candidate places, determining the best candidate place based on the place score for each candidate place of the plurality of candidate places, and providing a place name associated with the best candidate place.
                        ",Grant,"UberTechnologies,Inc.","Roberto Fonti, Juthika Kiran Dabholkar, Jeremy Hintz, Kapil Gupta"
Facilitating direct rider-driver pairing,"July 7, 2020",1070665,"A computing system can receive a pick-up request for a transport service from a requesting user within a given region. Based at least in part on the requesting user being within the given region, the computing system can transmit match code data corresponding to a match code to the computing device of the requesting user. The computing system may then receive input data indicating the match code from a computing device of an available driver, signifying that the available driver is to provide the transport service for the requesting user, and update a status for the requesting user to indicate that the transport service is being provided by the available driver for the requesting user.
                        ",Grant,"UberTechnologies,Inc.","Kevin Brinig, Fahrettin Olcay Cirit, Margaret-Ann Julia Seger"
Training of artificial neural networks using safe mutations based on output gradients,"June 30, 2020",1069919,"Systems and methods are disclosed herein for ensuring a safe mutation of a neural network. A processor determines a threshold value representing a limit on an amount of divergence of response for the neural network. The processor identifies a set of weights for the neural network, the set of weights beginning as an initial set of weights. The processor trains the neural network by repeating steps including determining a safe mutation representing a perturbation that results in a response of the neural network that is within the threshold divergence, and modifying the set of weights of the neural network in accordance with the safe mutation.
                        ",Grant,"UberTechnologies,Inc.","Joel Anthony Lehman, Kenneth Owen Stanley, Jeffrey Michael Clune"
Coordinating travel on a public transit system and a travel coordination system,"June 30, 2020",1069778,"A travel coordination system determines a route for a rider using a public transit system and a provider. The travel coordination system may determine a route that describes a public transit stop at which the rider exits the public transit system, and the travel coordination system can route a provider so that the provider transports the rider when the rider arrives at the public transit stop. The travel coordination system may update the rider's route after transmitting the route to the rider. The travel coordination system may determine a public transit vehicle on which the rider is traveling or predict the rider's destination. If multiple riders are traveling on the public transit vehicle and if those riders exit the public transit station using the same public transit stop, the travel coordination system may match those riders together for transport by a provider.
                        ",Grant,"UberTechnologies,Inc.","Daniel Iland, Andrew Irish, Srinivasan Rajagopal"
Deep learning coordinate prediction using satellite and service data,"June 30, 2020",1069939,"Systems and methods of deep learning coordinate prediction using satellite and service data are disclosed herein. In some example embodiments, for each one of a plurality of places, a computer system trains a deep learning model based on training data of the plurality of places. The deep leaning model is configured to generate a predicted geographical location of a place based on satellite image data and service data associated with the place. The training data for each place comprises satellite image data of the place, service data, and a ground truth geographical location of the place. The service data comprises at least one of pick-up data indicating a geographical location at which a provider started transporting a requester in servicing a request associated with the place or drop-off data indicating a geographical location at which the provider completed transporting the requester in servicing the request associated with the place.
                        ",Grant,"UberTechnologies,Inc.","Chandan Prakash Sheth, Minzhen Yi, Livia Zarnescu Yanez, Sheng Yang, Shivendra Pratap Singh, Alvin AuYoung, Vikram Saxena"
Dynamically maintaining walking profile for time estimation,"June 30, 2020",1070151,"Systems and methods for dynamically maintaining and utilizing walking profiles for time estimations in service scheduling are provided. A networked system detects usage of an application on a user device. In response to the detecting, the networked system accesses environmental condition data at a location associated with a user of the user device, whereby the environmental condition data comprises one or more environmental condition affecting the location. The networked system accesses walking pace data from the user device, whereby the walking pace data represents a current walking pace of the user and correlates the walking pace data with the environmental condition data. Using the correlated data, the networked system adjusts a parameter in a walking profile of the user. The walking profile is then used to determine time estimates that are used to schedule services that require walking by a user.
                        ",Grant,"UberTechnologies,Inc.",Howard David Jaffe
User-configurable indication device for use with an on-demand transport service,"June 23, 2020",1068891,"A computing system is configured to receive a request for a transport service from a user device of a requesting user. In response to receiving the request, the computing system identifies a service provider to fulfill the request and determines a state for the service provider. The computing system transmits, to a provider device of the service provider, configuration data indicating an output configuration for the request. The provider device is communicatively coupled to an indication device to cause the indication device to transition from displaying a default configuration to displaying the output configuration for the request based on the determined state of the service provider.
                        ",Grant,"UberTechnologies,Inc.","Travis Kalanick, Shalin Amin"
Table replica allocation in a replicated storage system,"June 23, 2020",1069170,"A replicated storage system allocates tables to storage clusters to balance the usage of resources in the replicated storage system. The replicated storage system determines the query load of the stored tables and generates candidate table allocations based on the query loads. The candidate table allocations are generated based on table allocation criteria based on the popularity of the tables or whether the tables are related to other tables. The replicated storage system determines resource parameters for each candidate table allocation and generates a resource usage score for each candidate table allocation based on a utility function that is weighted based on priorities of the resources used by the replicated storage system. The replicated storage system selects a table allocation from the candidate table allocations based on the resource usage scores of the candidate table allocations and allocates table replicas to the storage clusters.
                        ",Grant,"UberTechnologies,Inc.","Ritesh Agrawal, Kevin Novak, Jai Ranganathan, Tristan Willy, David Nguyen"
Obtaining user assistance,"June 16, 2020",1068716,"An apparatus, device, method, computer program product, and system that searches a plurality of end user assistances respectively corresponding to a plurality of items for an end user assistance correlating with a user-selected item.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Edward K. Y. Jung, Royce A. Levien, Mark A. Malamud, John D. Rinaldo, Jr."
Suggested pickup location for ride services,"June 16, 2020",1068541,"A travel coordination system coordinates travel between a client and a provider to a destination. The client and provider meet at a pickup location and the provider transports the client (or an item or object from the client) to the destination. The travel coordination system automatically suggests a pickup location for the trip by determining location data points corresponding to prior trips of clients. Location data points near the client's location are determined by distance or by region and scored to determine a pickup location that improves the estimated pickup time and/or estimated time to arrive at the destination.
                        ",Grant,"UberTechnologies,Inc.","Brian Tolkin, Qing Xu, Sami Aref, Peter Ng, Yuhki Brent Yamashita, Siddharth Kar, Nikhil Goel"
Wireless device with an aggregate user interface for controlling other devices,"June 9, 2020",1068119,"An apparatus, device, methods, computer program product, and system are described that make a determination that a wireless device is in proximity to at least one secondary wireless device, and determine an aggregate user interface on the wireless device based on the determination.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Edward K. Y. Jung, Royce A. Levien, Robert W. Lord, Mark A. Malamud, John D. Rinaldo, Jr., Lowell L. Wood, Jr."
Confidence threshold determination for machine-learned labeling,"June 9, 2020",1067939,"A map labeling system trains a machine-learned model using a set of training data and generates a set of test predictions for a set of test properties by applying the machine-learned model to a set of testing data. Each prediction in the set of test predictions comprises a confidence score representing the machine-learned model's confidence in the prediction. The map labeling system determines a correctness of each prediction in the set of predictions and determines a relationship between the confidence scores and the correctness of the test predictions. The map labeling system establishes a confidence threshold for the machine-learned model based on the determined relationship and labels a production property by applying the machine-learned model to production data.
                        ",Grant,"UberTechnologies,Inc.","Mojtaba Solgi, Ankit Tandon, Vasudev Parameswaran"
Load balancing sticky session routing,"June 9, 2020",1068112,"An intermediary node receives broadcasts from servers each indicating three-dimensional map tiles loaded into the server's memory using geohashes. The intermediary node updates a set of ordered lists of server identifiers based on the geohashes. The intermediary node receives a request a client device including location information and a client identifier. The intermediary node generates a client geohash based on the location information. The intermediary node identifies an ordered list using the client geohash. The intermediary node selects a server identifier from the identified ordered list based on the client identifier. The intermediary node initiates a network connection between the client and the selected server.
                        ",Grant,"UberTechnologies,Inc.","Daniel Iland, Venkata Sathya Praveen Gorthy, Andrew Irish"
Draggable maps,"June 9, 2020",1067938,"A web server receives a request from a client specifying a location and a bounding area. A mapping engine creates a tile grid centered at the specified location. A seed tile is created, including or adjacent to the center location. The web server creates a resource identifier for each tile in the tile grid, and returns the tile grid including the resource identifiers to the client. The resource identifier for each tile includes the location of the seed tile and a position offset for the tile relative to the seed tile, in one embodiment specified in units of northward and eastward movement. The client requests tiles from the system using the resource identifiers previously provided by the system. Upon receiving the request, the mapping engine dynamically renders each requested tile using map data from the map database, and the web server returns the dynamically-generated tiles to the requesting client.
                        ",Grant,"UberTechnologies,Inc.","Brent Hamby, Geoffrey Rummens Hendrey"
Trip termination determination for on-demand transport,"June 2, 2020",1067219,"In context of a transportation service provided through a transport arrangement service, examples determine a point of trip termination for a trip. The point of trip termination can be determined from passive information that is collected from a computing device of a driver. The point of trip termination can be determined based on driver input and the collected information from the driver's computing device.
                        ",Grant,"UberTechnologies,Inc.","Kevin Brinig, Maksim Ioffe, Brandon Layton, Theodore Sumers, Mohammed Waleed Kadous"
Search result suggestions based on dynamic network latency classification,"June 2, 2020",1067372,"An application on a mobile device, in response to received partial queries from users, displays suggested results based upon the received partial query, allowing the user to select a suggested result without having to input the complete query. In order to ensure that suggested results can be provided to the user in a timely manner, the application determines an expected latency of a network connection of the mobile device by periodically measuring the latency of network requests and predicting an expected future latency based upon the measured latency values. Based upon the expected latency, the application may retrieve the suggested results from a server, or from a local cache storing results of previous queries by the users as well as popular results associated with a geographic area of the user, or some combination thereof.
                        ",Grant,"UberTechnologies,Inc.","Jatin H. Lodhia, Rajesh Mahindra, Arun Babu Arunachalam Sankaralingam Pragasam"
Generation of trip estimates using real-time data and historical data,"June 2, 2020",1067108,"A system uses machine models to estimate trip durations or distance. The system trains a historical model to estimate trip duration using characteristics of past trips. The system trains a real-time model to estimate trip duration using characteristics of recently completed trips. The historical and real-time models may use different time windows of training data to predict estimates, and may be trained to predict an adjustment to an initial trip estimate. A selector model is trained to predict whether the historical model, the real-time model, or a combination of the historical and real-time models will more accurately estimate a trip duration, given features associated with a trip duration request, and the system accordingly uses the models to estimate a trip duration. In some embodiments, the real-time model and the selector may be trained using batch machine learning techniques which allow the models to incorporate new trip data as trips complete.
                        ",Grant,"UberTechnologies,Inc.","Shijing Yao, Xiao Cai"
